gender,workclass,education_level,education_num,marital_status,occupation,relationship,capital_gain,capital_loss,hours_per_week,inquiry_purpose_code,institute_type,account_type,asset_class_cd,asset_code,portfolio_type,age,PREDICTED_CLUSTER
1.0,0.0,0.6,0.8,0.3333333333333333,0.0,0.0,0.0,0.0,0.44897959183673464,0.23529411764705882,0.7142857142857142,0.4722222222222222,1.0,0.0,0.3333333333333333,0.39436619718309857,2
1.0,0.0,0.6,0.8,0.3333333333333333,0.0,0.0,0.0,0.0,0.39795918367346933,0.5294117647058824,1.0,0.9444444444444444,1.0,0.0,1.0,0.4647887323943662,3
1.0,0.3333333333333333,0.7333333333333333,0.5333333333333333,0.3333333333333333,0.15384615384615385,0.0,0.0,0.0,0.39795918367346933,0.8235294117647058,1.0,0.19444444444444442,1.0,0.6666666666666666,0.3333333333333333,0.33802816901408445,2
1.0,0.3333333333333333,0.7333333333333333,0.5333333333333333,0.3333333333333333,0.15384615384615385,0.0,0.0,0.0,0.39795918367346933,1.0,1.0,0.9444444444444444,1.0,0.0,1.0,0.23943661971830982,1
1.0,0.8333333333333333,0.6,0.8,0.3333333333333333,0.6923076923076923,0.0,0.0,0.0,0.39795918367346933,0.8235294117647058,1.0,0.9444444444444444,1.0,0.0,1.0,0.2535211267605633,1
1.0,0.3333333333333333,0.6,0.8,0.3333333333333333,0.23076923076923078,0.0,0.0,0.512354059190877,0.5,1.0,0.7142857142857142,0.9444444444444444,1.0,0.0,1.0,0.30985915492957744,1
0.0,0.3333333333333333,1.0,0.6,0.5,0.6923076923076923,0.2,0.0,0.0,0.39795918367346933,0.8235294117647058,1.0,0.9722222222222222,1.0,0.6666666666666666,0.6666666666666666,0.23943661971830982,0
1.0,0.3333333333333333,0.4666666666666667,0.7333333333333334,0.3333333333333333,0.23076923076923078,0.0,0.0,0.0,0.5,1.0,1.0,0.9444444444444444,1.0,0.0,1.0,0.22535211267605632,1
0.0,0.0,0.6666666666666666,1.0,0.6666666666666666,0.6923076923076923,0.2,0.0,0.0,0.5,1.0,1.0,0.9444444444444444,1.0,0.0,1.0,0.33802816901408445,0
1.0,0.3333333333333333,0.6,0.8,0.3333333333333333,0.23076923076923078,0.0,0.0,0.0,0.36734693877551017,0.8235294117647058,1.0,0.4722222222222222,1.0,0.0,0.3333333333333333,0.22535211267605632,2
1.0,0.3333333333333333,1.0,0.6,0.3333333333333333,0.23076923076923078,0.0,0.0,0.0,0.6530612244897959,0.7647058823529411,1.0,0.9444444444444444,1.0,0.0,1.0,0.30985915492957744,1
1.0,0.3333333333333333,0.7333333333333333,0.5333333333333333,0.3333333333333333,0.46153846153846156,0.0,0.0,0.0,0.43877551020408156,0.23529411764705882,1.0,0.9444444444444444,1.0,0.0,1.0,0.33802816901408445,3
1.0,0.3333333333333333,1.0,0.6,0.3333333333333333,0.0,0.0,0.0,0.0,0.39795918367346933,1.0,1.0,0.9166666666666666,0.7142857142857142,0.0,0.3333333333333333,0.42253521126760557,1
1.0,0.3333333333333333,0.8,0.8666666666666667,0.3333333333333333,0.6923076923076923,0.0,0.0,0.0,0.5,1.0,1.0,0.9444444444444444,1.0,0.0,1.0,0.26760563380281693,1
1.0,0.3333333333333333,0.4666666666666667,0.7333333333333334,0.3333333333333333,0.9230769230769231,0.0,0.0,0.5367906597882162,0.5,0.5294117647058824,0.8571428571428571,0.05555555555555555,0.7142857142857142,0.6666666666666666,0.3333333333333333,0.38028169014084506,2
1.0,0.6666666666666666,0.9333333333333333,0.9333333333333333,0.6666666666666666,0.6923076923076923,0.2,0.0,0.7667662231876188,0.44897959183673464,0.23529411764705882,1.0,0.9444444444444444,1.0,0.0,1.0,0.26760563380281693,3
1.0,0.3333333333333333,1.0,0.6,0.3333333333333333,0.0,0.0,0.0,0.0,0.4591836734693877,0.23529411764705882,0.7142857142857142,0.19444444444444442,0.7142857142857142,0.0,0.3333333333333333,0.30985915492957744,2
1.0,0.5,0.6,0.8,0.3333333333333333,0.23076923076923078,0.0,0.0,0.649470540320391,0.7551020408163265,0.23529411764705882,1.0,0.9444444444444444,1.0,0.0,1.0,0.676056338028169,3
1.0,0.6666666666666666,0.6,0.8,0.3333333333333333,0.23076923076923078,0.0,0.0,0.0,0.5,0.29411764705882354,0.8571428571428571,0.9444444444444444,1.0,0.0,1.0,0.18309859154929575,3
1.0,0.6666666666666666,0.8,0.8666666666666667,0.3333333333333333,0.6923076923076923,0.0,0.0,0.0,0.38775510204081626,0.23529411764705882,0.7142857142857142,0.9444444444444444,1.0,0.0,1.0,0.647887323943662,3
1.0,0.3333333333333333,0.7333333333333333,0.5333333333333333,0.3333333333333333,1.0,0.0,0.0,0.0,0.47959183673469385,0.7647058823529411,1.0,0.4722222222222222,1.0,0.0,0.3333333333333333,0.39436619718309857,2
1.0,0.8333333333333333,0.6,0.8,0.3333333333333333,0.6923076923076923,0.0,0.0,0.0,0.346938775510204,1.0,0.7142857142857142,0.4722222222222222,1.0,0.0,0.3333333333333333,0.39436619718309857,2
1.0,0.8333333333333333,0.6,0.8,0.3333333333333333,0.23076923076923078,0.0,0.0,0.0,0.39795918367346933,1.0,1.0,0.9722222222222222,0.7142857142857142,0.6666666666666666,0.6666666666666666,0.35211267605633806,1
1.0,0.3333333333333333,0.6,0.8,0.0,0.0,0.2,0.0,0.0,0.39795918367346933,0.3529411764705882,1.0,0.9444444444444444,1.0,0.0,1.0,0.5915492957746478,3
0.0,0.3333333333333333,0.6,0.8,0.3333333333333333,0.9230769230769231,1.0,0.0,0.0,0.39795918367346933,1.0,1.0,0.9444444444444444,1.0,0.0,1.0,0.5492957746478873,0
